timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,discharged_mah,remaining,scale,cell_count,connected,warning
281955363,15.42915,15.7080145,12.814216,9.8302145,175.48099,0.99962956,1.0000715,4,1,0
282255432,15.420855,15.617132,11.3743,11.041966,176.56308,0.9983872,1.000311,4,1,0
282555360,15.495512,15.566691,11.964769,11.450101,177.5676,1.0,1.0,4,1,0
282856945,15.321312,15.520901,12.700266,11.791472,178.60033,1.0,1.0,4,1,0
283156960,15.196883,15.4713745,11.436455,12.107279,179.65732,0.9995798,1.0000811,4,1,0
283456975,15.296426,15.458033,12.54488,12.022359,180.64432,0.99994814,1.00001,4,1,0
283756948,15.4125595,15.4386425,12.627752,11.957827,181.63486,1.0,1.0,4,1,0
284056997,15.4042635,15.418799,12.099438,12.013389,182.64435,1.0,1.0,4,1,0
284358489,15.379378,15.422149,10.980654,11.724768,183.59273,0.9999925,1.0000015,4,1,0
284670648,15.379378,15.424763,11.208554,11.448773,184.55037,0.9999498,1.0000097,4,1,0
284970495,15.487216,15.429059,10.856344,11.246135,185.46312,1.0,1.0,4,1,0
285270498,15.462331,15.435786,10.814908,11.060789,186.36176,1.0,1.0,4,1,0
285570469,15.520397,15.439355,10.835627,10.993224,187.2697,1.0,1.0,4,1,0
285872140,15.395968,15.4386425,11.519327,11.034576,188.19661,0.99985117,1.0000287,4,1,0
286172163,15.478921,15.439751,10.473058,10.999977,189.11224,1.0,1.0,4,1,0
286472212,15.7360735,15.461198,8.421954,10.3816595,189.90364,1.0,1.0,4,1,0
286772223,15.678007,15.517652,6.256901,9.004721,190.48578,1.0,1.0,4,1,0
287072230,15.96834,15.5953665,4.4958525,7.4371924,190.91333,1.0,1.0,4,1,0
287373654,16.034702,15.663349,4.4958525,6.33313,191.3028,1.0,1.0,4,1,0
287673705,15.984931,15.736562,3.957179,5.417407,191.63947,1.0,1.0,4,1,0
287985651,15.976636,15.801319,3.8432288,4.797481,191.97762,1.0,1.0,4,1,0
288285657,15.984931,15.847037,3.8743062,4.3990507,192.29362,1.0,1.0,4,1,0
288585846,15.984931,15.87904,3.9778972,4.2355294,192.62576,1.0,1.0,4,1,0
288887290,16.067883,15.916222,3.853588,4.0912395,192.94983,1.0,1.0,4,1,0
289187329,16.059587,15.9378605,4.0296926,4.061325,193.28433,1.0,1.0,4,1,0
289487279,16.018112,15.956083,4.102206,4.053128,193.62067,1.0,1.0,4,1,0
289787260,16.009817,15.971139,4.0089746,4.038387,193.95512,1.0,1.0,4,1,0
290099316,15.96834,15.980716,3.9882565,4.0882254,194.31615,1.0,1.0,4,1,0
290401578,15.993226,15.984151,4.257593,4.146575,194.67126,1.0,1.0,4,1,0
290701757,16.042997,15.990247,4.4544163,4.2496886,195.03851,1.0,1.0,4,1,0
291012818,15.976636,15.984403,4.9930897,4.4179177,195.43965,1.0,1.0,4,1,0
291312887,15.960045,15.974457,4.9620123,4.600084,195.84569,1.0,1.0,4,1,0
291612898,15.960045,15.969779,4.9930897,4.75084,196.26047,1.0,1.0,4,1,0
291914499,15.926865,15.957281,5.0345263,4.8757267,196.68451,1.0,1.0,4,1,0
292214559,15.976636,15.95441,5.179554,4.995178,197.11534,1.0,1.0,4,1,0
292514481,15.926865,15.950031,5.0656037,5.069707,197.5471,1.0,1.0,4,1,0
292826859,15.868797,15.942134,5.200272,5.129452,197.9997,1.0,1.0,4,1,0
293126434,15.9019785,15.938529,5.2727857,5.2198896,198.44565,1.0,1.0,4,1,0
293428043,15.843912,15.930804,5.303863,5.2668524,198.89316,1.0,1.0,4,1,0
293729244,15.976636,15.933866,5.283145,5.26718,199.33372,1.0,1.0,4,1,0
294028123,15.976636,15.926447,5.490327,5.330102,199.78319,1.0,1.0,4,1,0
294328231,15.960045,15.918887,5.3970947,5.414361,200.2452,1.0,1.0,4,1,0
294628203,15.993226,15.921984,5.0552444,5.333507,200.68028,1.0,1.0,4,1,0
294929799,15.943455,15.920869,5.3349404,5.2791615,201.11461,1.0,1.0,4,1,0
295229733,15.960045,15.914738,5.479968,5.3515873,201.56943,1.0,1.0,4,1,0
295541678,15.9019785,15.915022,5.3452992,5.3924723,202.0419,1.0,1.0,4,1,0
295841722,15.926865,15.91734,5.4178133,5.365646,202.48566,1.0,1.0,4,1,0
296141728,15.893683,15.91837,5.189913,5.3346677,202.92639,1.0,1.0,4,1,0
296443353,15.93516,15.918852,5.3142223,5.3014555,203.36656,1.0,1.0,4,1,0
296743410,15.984931,15.92238,5.1277585,5.276121,203.80334,1.0,1.0,4,1,0
297043423,15.918569,15.914713,5.189913,5.2535095,204.23842,1.0,1.0,4,1,0
297343397,15.93516,15.916791,4.920576,5.1721654,204.66028,1.0,1.0,4,1,0
297643381,15.96834,15.92759,4.7341123,5.035739,205.06297,1.0,1.0,4,1,0
297944945,15.860502,15.931128,4.713394,4.9156857,205.45987,1.0,1.0,4,1,0
298244910,15.943455,15.941429,4.5165706,4.779498,205.84091,1.0,1.0,4,1,0
298544970,15.993226,15.948445,4.6305213,4.703242,206.22342,1.0,1.0,4,1,0
298844925,15.96834,15.949839,4.537289,4.657455,206.60593,1.0,1.0,4,1,0
299157003,16.001522,15.955386,4.4544163,4.6061788,206.99907,1.0,1.0,4,1,0
299458463,16.009817,15.96554,4.444057,4.550685,207.37296,1.0,1.0,4,1,0
299758491,16.059587,15.970316,4.5165706,4.515773,207.74461,1.0,1.0,4,1,0
300058442,16.026407,15.968375,4.682317,4.5550404,208.12845,1.0,1.0,4,1,0
300358495,15.9019785,15.961821,5.324581,4.7150908,208.5391,1.0,1.0,4,1,0
300658515,15.926865,15.940963,5.9772053,5.125383,209.01604,1.0,1.0,4,1,0
300960121,15.9019785,15.92711,5.811459,5.4227343,209.5084,1.0,1.0,4,1,0
301260055,15.877092,15.912848,5.6353545,5.5756164,209.99283,1.0,1.0,4,1,0
301572539,15.918569,15.91847,5.003449,5.390908,210.43974,1.0,1.0,4,1,0
301872868,16.001522,15.927022,4.6098027,5.18857,210.84854,1.0,1.0,4,1,0
302172067,16.018112,15.936387,4.6305213,4.9602275,211.23196,1.0,1.0,4,1,0
302473642,16.084475,15.9533615,4.1850796,4.7329063,211.60092,1.0,1.0,4,1,0
302773805,16.026407,15.971417,4.1747203,4.489959,211.94469,1.0,1.0,4,1,0
303073972,16.026407,15.982439,4.2057977,4.3656106,212.29274,1.0,1.0,4,1,0
303374378,15.960045,15.989271,4.2265162,4.30496,212.64415,1.0,1.0,4,1,0
303674412,15.960045,15.997027,4.0711293,4.2200947,212.98514,1.0,1.0,4,1,0
303975234,16.026407,16.000807,4.122925,4.1797094,213.3291,1.0,1.0,4,1,0
304287324,16.001522,15.996496,4.195439,4.218784,213.69945,1.0,1.0,4,1,0
304587263,15.918569,15.999274,4.3715434,4.256703,214.05917,1.0,1.0,4,1,0
304887287,15.976636,15.994027,4.599444,4.350551,214.4332,1.0,1.0,4,1,0
305187315,15.96834,15.986026,4.692676,4.480336,214.82266,1.0,1.0,4,1,0
305488940,15.943455,15.984588,4.547648,4.530182,215.20918,1.0,1.0,4,1,0
305788979,15.885388,15.981705,4.930935,4.625533,215.60522,1.0,1.0,4,1,0
306088946,15.893683,15.971483,5.2106314,4.8044395,216.02782,1.0,1.0,4,1,0
306388930,15.877092,15.952495,5.366018,4.979167,216.46436,1.0,1.0,4,1,0
306689055,15.877092,15.940081,5.5524817,5.1480865,216.91379,1.0,1.0,4,1,0
306990597,15.868797,15.930176,5.8528957,5.366559,217.39009,1.0,1.0,4,1,0
307290505,15.802436,15.913269,6.1015143,5.623075,217.89003,1.0,1.0,4,1,0
307590520,15.860502,15.896377,6.256901,5.840041,218.40392,1.0,1.0,4,1,0
307890485,15.819026,15.886232,5.7285867,5.8420367,218.89247,1.0,1.0,4,1,0
308202735,15.868797,15.879281,5.3142223,5.69319,219.36787,1.0,1.0,4,1,0
308504190,15.96834,15.888308,4.910217,5.4281063,219.79045,1.0,1.0,4,1,0
308804087,15.810731,15.895544,4.568366,5.1348624,220.18158,1.0,1.0,4,1,0
309104148,15.93516,15.900994,4.6098027,4.9088497,220.56207,1.0,1.0,4,1,0
309404200,15.852207,15.9074745,4.040052,4.719663,220.93414,1.0,1.0,4,1,0
309704962,16.009817,15.921877,3.936461,4.4553347,221.27345,1.0,1.0,4,1,0
310017745,15.943455,15.942975,3.8121517,4.2025175,221.60707,1.0,1.0,4,1,0
310317836,16.12595,15.95008,3.3977873,4.013562,221.91898,1.0,1.0,4,1,0
310617818,15.976636,15.970794,3.5117373,3.8065238,222.20914,1.0,1.0,4,1,0
310917755,16.042997,15.987725,3.5946102,3.7094438,222.50616,1.0,1.0,4,1,0
311219448,15.860502,15.992258,4.0296926,3.7874784,222.83171,1.0,1.0,4,1,0
311519414,16.026407,15.9969015,4.340466,3.9395432,223.17827,1.0,1.0,4,1,0
311831396,16.059587,15.996711,4.4854937,4.125628,223.55893,1.0,1.0,4,1,0
312131406,15.893683,15.983189,4.8584213,4.362387,223.95093,1.0,1.0,4,1,0
312431438,15.993226,15.979755,4.6615987,4.5145493,224.34706,1.0,1.0,4,1,0
312732887,15.960045,15.977201,4.930935,4.6192756,224.7463,1.0,1.0,4,1,0
313033044,16.026407,15.963896,5.179554,4.7843776,225.16528,1.0,1.0,4,1,0
313333017,15.9019785,15.945108,5.2727857,5.0197787,225.61372,1.0,1.0,4,1,0
313632972,16.001522,15.939524,4.9723716,5.066086,226.0427,1.0,1.0,4,1,0
313932961,15.93516,15.937993,4.816985,5.0263863,226.45703,1.0,1.0,4,1,0
314234500,15.943455,15.936557,4.8480625,4.9745035,226.86778,1.0,1.0,4,1,0
314546468,15.918569,15.943385,4.8687806,4.8984165,227.28293,1.0,1.0,4,1,0
314846487,15.96834,15.950883,4.910217,4.870512,227.68497,1.0,1.0,4,1,0
315146533,15.93516,15.951768,4.930935,4.8902307,228.09453,1.0,1.0,4,1,0
315446683,16.034702,15.952765,5.0552444,4.916865,228.50716,1.0,1.0,4,1,0
315748525,15.960045,15.949696,5.096681,4.9889207,228.93408,1.0,1.0,4,1,0
316048495,15.976636,15.943304,4.9930897,5.003078,229.35307,1.0,1.0,4,1,0
316348048,15.984931,15.942944,5.044885,5.014111,229.7717,1.0,1.0,4,1,0
316660059,15.943455,15.935863,5.0656037,5.051954,230.21355,1.0,1.0,4,1,0
316960481,16.001522,15.932322,5.2313495,5.1034293,230.64626,1.0,1.0,4,1,0
317261800,15.960045,15.932063,5.200272,5.1117225,231.07573,1.0,1.0,4,1,0
317561811,15.893683,15.9311075,5.096681,5.0982065,231.49928,1.0,1.0,4,1,0
317861816,15.96834,15.936385,4.806626,5.027556,231.90967,1.0,1.0,4,1,0
318161820,16.001522,15.93982,4.64088,4.9624457,232.31537,1.0,1.0,4,1,0
318461680,15.893683,15.947355,4.52693,4.8272576,232.70094,1.0,1.0,4,1,0
318763359,15.918569,15.958602,4.361184,4.6809034,233.07478,1.0,1.0,4,1,0
